layer_128_3_conv2, 3, 106776, (64, 2), (8, 16), (26, 1), 0.4375,compute bound
layer_128_3_conv3, 1, 31323, (172, 3), (128, 1), (14, 2), 0.686046511627907,compute bound
layer_128_3_conv3, 2, 44096, (128, 4), (128, 1), (14, 2), 0.578125,compute bound
layer_128_3_conv3, 3, 49891, (172, 3), (128, 1), (14, 2), 0.47674418604651164,compute bound
layer_128_4_conv1, 1, 40000, (128, 1), (128, 4), (14, 2), 0.578125,compute bound
layer_128_4_conv1, 2, 43902, (128, 1), (86, 6), (14, 2), 0.578125,compute bound
layer_128_4_conv1, 3, 58496, (64, 2), (64, 8), (28, 1), 0.4375,compute bound
layer_128_4_conv2, 1, 68307, (44, 3), (16, 8), (26, 1), 0.5909090909090909,compute bound
layer_128_4_conv2, 2, 75680, (128, 1), (16, 8), (26, 1), 0.578125,compute bound
layer_128_4_conv2, 3, 106776, (64, 2), (8, 16), (26, 1), 0.4375,compute bound
layer_128_4_conv3, 1, 31323, (172, 3), (128, 1), (14, 2), 0.686046511627907,compute bound
layer_128_4_conv3, 2, 44096, (128, 4), (128, 1), (14, 2), 0.578125,compute bound
layer_128_4_conv3, 3, 49891, (172, 3), (128, 1), (14, 2), 0.47674418604651164,compute bound
layer_256_1_conv4, 1, 217452, (172, 6), (128, 4), (28, 1), 0.686046511627907,compute bound
layer_256_1_conv4, 2, 257236, (148, 7), (128, 4), (28, 1), 0.6351351351351351,compute bound
layer_256_1_conv4, 3, 334208, (256, 4), (128, 4), (28, 1), 0.5078125,compute bound
layer_256_1_conv1, 1, 66144, (256, 1), (128, 4), (14, 2), 0.6484375,compute bound
layer_256_1_conv1, 2, 82088, (128, 2), (104, 5), (28, 1), 0.578125,compute bound
layer_256_1_conv1, 3, 96222, (256, 1), (86, 6), (28, 1), 0.5078125,compute bound
layer_256_1_conv2, 1, 221861, (52, 5), (16, 16), (26, 1), 0.6538461538461539,compute bound
layer_256_1_conv2, 2, 283040, (128, 2), (16, 16), (26, 1), 0.578125,compute bound
layer_256_1_conv2, 3, 324745, (256, 1), (16, 16), (26, 1), 0.5078125,compute bound
layer_256_1_conv3, 1, 31189, (114, 9), (128, 2), (14, 1), 0.6842105263157895,memory bound
layer_256_1_conv3, 2, 39221, (148, 7), (128, 2), (14, 1), 0.6351351351351351,compute bound
layer_256_1_conv3, 3, 49692, (172, 6), (86, 3), (14, 1), 0.47674418604651164,compute bound
layer_256_2_conv1, 1, 35313, (256, 1), (114, 9), (14, 1), 0.6484375,compute bound
layer_256_2_conv1, 2, 43902, (128, 2), (86, 12), (14, 1), 0.578125,compute bound
layer_256_2_conv1, 3, 51241, (256, 1), (74, 14), (14, 1), 0.5078125,compute bound
layer_256_2_conv2, 1, 46859, (52, 5), (16, 16), (12, 1), 0.6730769230769231,compute bound
layer_256_2_conv2, 2, 57600, (128, 2), (16, 16), (12, 1), 0.578125,compute bound
layer_256_2_conv2, 3, 69630, (256, 1), (10, 26), (12, 1), 0.5078125,compute bound
layer_256_2_conv3, 1, 31189, (114, 9), (128, 2), (14, 1), 0.6842105263157895,memory bound
layer_256_2_conv3, 2, 39221, (148, 7), (128, 2), (14, 1), 0.6351351351351351,compute bound
layer_256_2_conv3, 3, 49692, (172, 6), (86, 3), (14, 1), 0.47674418604651164,compute bound
