12/07/2022 01:02:23 - INFO - __main__ -   output/resnet50_imagenet/int_W8A8_52337/gpu_0
12/07/2022 01:02:23 - INFO - __main__ -   Namespace(a_low=75, a_up=150, abit=8, batch_size=64, ckpt_path=None, dataset='imagenet', dataset_path='/home/mnt/datasets/ImageNet2012', disable_input_quantization=False, disable_quant=False, eb='sel-2-3-4-5', epoch=5, layer_8bit_l=None, layer_8bit_n=0, local_rank=0, lr=5e-05, mode='int', model='resnet50', percent=100, ptq=False, resume=False, search=False, tag='', train=True, w_low=75, w_up=150, wbit=8)
12/07/2022 01:02:23 - INFO - __main__ -   ==> Preparing data..
12/07/2022 01:02:54 - INFO - __main__ -   ==> Setting quantizer..
12/07/2022 01:02:54 - INFO - __main__ -   Namespace(a_low=75, a_up=150, abit=8, batch_size=64, ckpt_path=None, dataset='imagenet', dataset_path='/home/mnt/datasets/ImageNet2012', disable_input_quantization=False, disable_quant=False, eb='sel-2-3-4-5', epoch=5, layer_8bit_l=None, layer_8bit_n=0, local_rank=0, lr=5e-05, mode='int', model='resnet50', percent=100, ptq=False, resume=False, search=False, tag='', train=True, w_low=75, w_up=150, wbit=8)
12/07/2022 01:02:54 - INFO - __main__ -   ==> Building model..
12/07/2022 01:02:55 - INFO - __main__ -   {'milestones': Counter({2: 1, 3: 1, 4: 1}), 'gamma': 0.1, 'base_lrs': [1.25e-05], 'last_epoch': 0, '_step_count': 1, 'verbose': False, '_get_lr_called_within_step': False, '_last_lr': [1.25e-05]}
12/07/2022 01:02:55 - INFO - __main__ -   
Epoch: 0
12/07/2022 01:21:58 - INFO - __main__ -   test: [epoch: 0 | batch: 3200/20019 ] | Loss: 0.891 | Acc: 77.976% (159744/204864)
12/07/2022 01:22:34 - INFO - __main__ -   test: [epoch: 0 | batch: 3300/20019 ] | Loss: 0.890 | Acc: 78.012% (164811/211264)
12/07/2022 01:23:09 - INFO - __main__ -   test: [epoch: 0 | batch: 3400/20019 ] | Loss: 0.891 | Acc: 77.998% (169774/217664)
12/07/2022 01:23:44 - INFO - __main__ -   test: [epoch: 0 | batch: 3500/20019 ] | Loss: 0.890 | Acc: 77.994% (174756/224064)
12/07/2022 01:24:20 - INFO - __main__ -   test: [epoch: 0 | batch: 3600/20019 ] | Loss: 0.890 | Acc: 78.001% (179764/230464)
12/07/2022 01:24:55 - INFO - __main__ -   test: [epoch: 0 | batch: 3700/20019 ] | Loss: 0.889 | Acc: 78.016% (184791/236864)
12/07/2022 01:25:31 - INFO - __main__ -   test: [epoch: 0 | batch: 3800/20019 ] | Loss: 0.888 | Acc: 78.040% (189844/243264)
12/07/2022 01:26:06 - INFO - __main__ -   test: [epoch: 0 | batch: 3900/20019 ] | Loss: 0.888 | Acc: 78.050% (194864/249664)
12/07/2022 01:26:41 - INFO - __main__ -   test: [epoch: 0 | batch: 4000/20019 ] | Loss: 0.887 | Acc: 78.055% (199872/256064)
12/07/2022 01:27:17 - INFO - __main__ -   test: [epoch: 0 | batch: 4100/20019 ] | Loss: 0.887 | Acc: 78.043% (204835/262464)
